"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez"
"ENSMUSG00000031767",1988.5570917357,-3.97011930115341,0.299700726590644,-13.2469458660209,4.69941644614279e-40,6.26150247284066e-36,"Nudt7","67528"
"ENSMUSG00000078964",4385.15569123937,2.96773648014791,0.237599787509755,12.4904845717763,8.41396063252974e-36,5.60538057339131e-32,"Ces1b","382044"
"ENSMUSG00000110714",51.5664754294665,5.01332106018031,0.502167515114955,9.98336393590229,1.80250006153977e-23,8.00550360665197e-20,NA,NA
"ENSMUSG00000040957",60.1544205732543,1.75563198081816,0.297944901350553,5.89247197337516,3.80460640249633e-09,1.26731439267153e-05,"Cables1","63955"
"ENSMUSG00000022197",37.453121465222,1.91135453783454,0.329815107988694,5.79523039284197,6.82274518609155e-09,1.81812513718968e-05,"Pdzd2","68070"
"ENSMUSG00000009293",387.673942909763,-0.553879860047109,0.106165788046859,-5.21712192069483,1.81724650859572e-07,0.00034589989257899,"Ube2g2","22213"
"ENSMUSG00000020695",30.0689390946912,1.84019713342967,0.351850962951182,5.23004717109442,1.69466792744496e-07,0.00034589989257899,"Mrc2","17534"
"ENSMUSG00000113889",26.3229615721231,-2.73878398203686,0.535769483703439,-5.11187005856579,3.18985219899432e-07,0.000531269883742503,NA,NA
"ENSMUSG00000019866",435.125148088375,0.701739653356781,0.140663983494261,4.98876568062934,6.07662984457349e-07,0.000899611289434414,"Crybg1","11630"
"ENSMUSG00000032754",802.818351849803,0.993615356175992,0.204438219449657,4.86022309747551,1.17253541671106e-06,0.00156228618922582,"Slc8b1","170756"
"ENSMUSG00000063929",188.678971997609,1.85396166123214,0.385648308051588,4.807389589232,1.52913820048461e-06,0.0018522033984779,"Cyp4a32","100040843"
"ENSMUSG00000067212",2705.25811556042,0.498647331162015,0.10759419983925,4.63451869995793,3.57768894065799e-06,0.00397242728711059,"H2-T23","15040"
"ENSMUSG00000009545",28.9762131270027,-2.24894994190691,0.493426908641913,-4.55781778925844,5.16878481583428e-06,0.00529760683739815,"Kcnq1","16535"
"ENSMUSG00000033174",3082.2206970238,-0.796767629132222,0.178169048493723,-4.4719755528149,7.75002890871424e-06,0.00737581322712204,"Mgll","23945"
"ENSMUSG00000020142",153.177638137962,-1.14373477531349,0.259102669406694,-4.41421455800697,1.01377377879955e-05,0.00900501455248344,"Slc1a4","55963"
"ENSMUSG00000032478",131.992041677907,-0.857363735208269,0.200018848866984,-4.28641470573822,1.81579874405971e-05,0.0151210640411573,"Nme6","54369"
