"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez"
"ENSMUSG00000066687",251.702692156302,-1.67406963744176,0.232310458483274,-7.20617422208002,5.75457671647575e-13,7.66739801703229e-09,"Zbtb16","235320"
"ENSMUSG00000020038",276.677791745764,-1.2684767557537,0.191256136293332,-6.63234539993123,3.30394322893092e-11,2.20108697911378e-07,"Cry1","12952"
"ENSMUSG00000020926",349.575267607311,2.91829505239296,0.45282917685422,6.44458264077903,1.15918958672543e-10,5.14834735117655e-07,"Adam11","11488"
"ENSMUSG00000003477",5033.33413418925,0.760046762897153,0.125187648872778,6.07125998244085,1.26910534678646e-09,3.38191192811657e-06,"Inmt","21743"
"ENSMUSG00000051747",781.750201529542,-8.77405148060111,1.44465074794508,-6.07347588549111,1.25170803535071e-09,3.38191192811657e-06,"Ttn","22138"
"ENSMUSG00000059824",96.6457443352785,4.01635562562958,0.664809966505262,6.04135892658551,1.52821592315371e-09,3.39365816001667e-06,"Dbp","13170"
"ENSMUSG00000027022",81.1154490483355,-10.2234298743999,1.72222235795207,-5.9361846205253,2.91731279668268e-09,5.552896529e-06,"Xirp2","241431"
"ENSMUSG00000023963",873.817234658111,-1.22344367545742,0.21397961460699,-5.71757117005976,1.08057422445807e-08,1.79969637083491e-05,"Cyp39a1","56050"
"ENSMUSG00000000303",484.86315965079,-1.11247245510532,0.203585160376609,-5.46440837361315,4.64453202511984e-08,5.15697872522473e-05,"Cdh1","12550"
"ENSMUSG00000017300",95.4469882905104,-8.90165667977575,1.6278307036717,-5.46841674610103,4.54073255305586e-08,5.15697872522473e-05,"Tnnc2","21925"
"ENSMUSG00000037139",25.627093616616,-3.07420598321348,0.557934479132396,-5.50997670549768,3.58881189509729e-08,5.15697872522473e-05,"Myom3","242702"
"ENSMUSG00000091867",1716.62464344524,1.12014499585475,0.204062616644543,5.48922195683657,4.03708062845168e-08,5.15697872522473e-05,"Cyp2a22","233005"
