"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez"
"ENSMUSG00000078964",4385.15569123937,2.84655050069475,0.237593326022314,11.9807679295984,4.48153015283e-33,5.97119077563069e-29,"Ces1b","382044"
"ENSMUSG00000031767",1988.5570917357,-3.3361426188221,0.299369738933696,-11.1438872569581,7.66969779456868e-29,5.10955267074166e-25,"Nudt7","67528"
"ENSMUSG00000110714",51.5664754294665,6.0839850282052,0.720526879201277,8.44380022983938,3.07183994355443e-17,1.36430651359731e-13,NA,NA
"ENSMUSG00000046794",5940.26838048664,-1.25952723976778,0.232457485863633,-5.41831223498074,6.01642788681984e-08,0.000200407212909969,"Ppp1r3b","244416"
"ENSMUSG00000003477",5033.33413418925,0.587132689450331,0.125093089006524,4.69356616031531,2.68483105359814e-06,0.00715453779162832,"Inmt","21743"
"ENSMUSG00000070360",167.112575523716,19.5181618039754,4.21488258134386,4.63077237082897,3.64304206865561e-06,0.00808998208712789,"Amy2a1","100043207"
"ENSMUSG00000057054",241.367895860226,0.543094710765144,0.124886137963559,4.34871891805652,1.36935083687225e-05,0.0260646150721226,"Inca1","103844"
"ENSMUSG00000034936",288.465164180212,0.982822866460419,0.232876854451906,4.22035443914584,2.43918512244949e-05,0.0361107806350189,"Arl4d","80981"
"ENSMUSG00000059824",96.6457443352785,2.76124894666612,0.650386377502498,4.24555163235337,2.18056287019444e-05,0.0361107806350189,"Dbp","13170"
"ENSMUSG00000110353",161.127786944866,1.52172312915265,0.368598080993672,4.12840762776183,3.6528412817183e-05,0.0486704572376147,"Gm33543","102636491"
"ENSMUSG00000041798",1994.19302960474,-1.07474933555634,0.266529439412595,-4.03238508258217,5.52136162087744e-05,0.0668787474877919,"Gck","103988"
"ENSMUSG00000000142",211.966903658165,-0.612857660211961,0.160191855167034,-3.82577291194316,0.000130362421948016,0.115796594002358,"Axin2","12006"
"ENSMUSG00000009293",387.673942909763,-0.412512528737992,0.10644784303824,-3.87525493203092,0.000106513129246368,0.115796594002358,"Ube2g2","22213"
"ENSMUSG00000028976",62.1987237993205,1.29720297489463,0.337331271647085,3.84548686684392,0.000120313308793488,0.115796594002358,"Slc2a5","56485"
"ENSMUSG00000047907",265.09321200126,0.503057572087927,0.131366692752968,3.8294149113879,0.000128448285225962,0.115796594002358,"Tshz2","228911"
"ENSMUSG00000064246",11.0006862775839,-1.99805418308113,0.524708849333439,-3.8079292651903,0.000140135342244007,0.116697706253697,"Chil1","12654"
"ENSMUSG00000042851",68.6783517052704,1.36388895783236,0.362924353079235,3.75805301093859,0.000171240608112944,0.134212344852757,"Zc3h6","78751"
"ENSMUSG00000035757",783.499824413367,0.397458291288218,0.107037896295931,3.7132483451408,0.00020461592068524,0.14348960669527,"Selenoo","223776"
"ENSMUSG00000042363",668.97438090362,-0.601035498575824,0.161506043603423,-3.72144277183622,0.000198087761240881,0.14348960669527,"Lgalsl","216551"
"ENSMUSG00000028967",8052.70488280305,1.0782407319467,0.294419365879132,3.66226157959103,0.000249998390576367,0.144825154610414,"Errfi1","74155"
"ENSMUSG00000029597",1939.27382782247,0.845998811202228,0.229375678273357,3.68826728958602,0.000225786396402386,0.144825154610414,"Sds","231691"
"ENSMUSG00000051124",214.605438225849,-0.562453353220927,0.152865404539593,-3.67940251043033,0.000233781036493106,0.144825154610414,"Gimap9","317758"
"ENSMUSG00000051391",1305.09043680482,-0.331480131535804,0.0904991887867593,-3.66279671651932,0.000249476516226854,0.144825154610414,"Ywhag","22628"
"ENSMUSG00000026614",1313.44845595222,-0.530024614438179,0.147457803565362,-3.59441549801221,0.000325120641492109,0.149376118180719,"Slc30a10","226781"
"ENSMUSG00000039878",33.7072064172913,-1.64495239957942,0.452841693653221,-3.63251092519565,0.00028067668849075,0.149376118180719,"Slc39a5","72002"
"ENSMUSG00000040998",34.4086804391647,-1.01440357483715,0.279426852584636,-3.63030097306018,0.000283090924005164,0.149376118180719,"Npnt","114249"
"ENSMUSG00000043252",900.536345780907,-0.454304358750804,0.126352143711758,-3.59554136087466,0.000323717688447749,0.149376118180719,"Tmem64","100201"
"ENSMUSG00000089736",64.3372233600327,0.908332534536478,0.252537334042046,3.5968247545737,0.000322125345713377,0.149376118180719,"Tgfbr3l","100044509"
"ENSMUSG00000096770",7704.30654863942,-8.44795669071097,2.3364483356556,-3.61572586981279,0.000299507194511565,0.149376118180719,"Amy2a4","100043684"
"ENSMUSG00000044197",664.617388197747,0.611820753671557,0.172775049107522,3.54114067298459,0.000398401105832649,0.176943211137141,"Gpr146","80290"
"ENSMUSG00000015890",2906.54628360646,0.457283819205569,0.132058196238284,3.4627447006807,0.000534695469985138,0.182683125993126,"Amdhd1","71761"
"ENSMUSG00000020017",7421.09729622071,0.579109824874286,0.166553648468702,3.47701674624745,0.000507026148461113,0.182683125993126,"Hal","15109"
"ENSMUSG00000020038",276.677791745764,-0.668797732658548,0.192778977154566,-3.46924619338715,0.000521920945653704,0.182683125993126,"Cry1","12952"
"ENSMUSG00000027556",39.4799902443065,1.17851202934226,0.340101869699973,3.46517362689568,0.00052988925745212,0.182683125993126,"Car1","12346"
"ENSMUSG00000030131",9604.80157372673,0.734972819407671,0.209728812112467,3.50439604365633,0.000457644205165048,0.182683125993126,"Mug2","17837"
"ENSMUSG00000030340",411.509544552792,0.517867747525026,0.14731187892665,3.51545137634748,0.00043900714177515,0.182683125993126,"Scnn1a","20276"
"ENSMUSG00000041037",365.650921483556,-0.48363690141893,0.139275938203742,-3.47250865911551,0.000515618378473166,0.182683125993126,"Irgq","210146"
"ENSMUSG00000051721",142.008702593727,0.575998936571413,0.165393687623682,3.48259322859996,0.000496582279332306,0.182683125993126,"Wdcp","238037"
"ENSMUSG00000074513",310.332927176635,-0.384739694894185,0.111108740805603,-3.46273112362358,0.000534722449244364,0.182683125993126,"Arfip1","99889"
"ENSMUSG00000002550",631.461899763701,-0.605833068832706,0.176052608611505,-3.44120472630767,0.000579130170830077,0.183915576862287,"Uck1","22245"
"ENSMUSG00000029279",30.6794906309621,0.992673021073609,0.287425111677024,3.45367534270654,0.000553002674732875,0.183915576862287,"Brdt","114642"
"ENSMUSG00000095041",2127.94535244862,0.311468597030735,0.0905189878932854,3.44092001335599,0.000579739885035728,0.183915576862287,NA,NA
"ENSMUSG00000024843",1667.98973833222,-0.690702476128101,0.202454029411015,-3.41165092212544,0.000645707452741329,0.195531956825579,"Chka","12660"
"ENSMUSG00000078967",20.3815056687504,2.06702534462572,0.604994870659234,3.41659978434757,0.000634084212848945,0.195531956825579,NA,NA
"ENSMUSG00000030364",19.0860420852134,2.27541097247855,0.671722149854346,3.38742882451017,0.000705510202769314,0.203209799722278,"Clec2h","94071"
"ENSMUSG00000049550",563.736470005911,-0.444515361791804,0.131394266783728,-3.38306512660455,0.00071681631544184,0.203209799722278,"Clip1","56430"
"ENSMUSG00000050855",15.8728813399401,-1.80675326152535,0.532751781864337,-3.39136033520661,0.000695465989997006,0.203209799722278,"Zfp940","233057"
"ENSMUSG00000021555",423.646174875511,0.476116874036882,0.141864340243612,3.3561420242697,0.000790379686700527,0.206490567560742,"Naa35","78689"
"ENSMUSG00000029417",296.260087393359,-0.784169103402498,0.233070226717268,-3.36451855926564,0.000766773271058808,0.206490567560742,"Cxcl9","17329"
"ENSMUSG00000038415",196.762650053042,1.39707890476601,0.4161163758132,3.35742351412091,0.000786725064595992,0.206490567560742,"Foxq1","15220"
"ENSMUSG00000060024",5.74138085371176,2.99289909781574,0.889053213189274,3.36638915805658,0.000761591824979708,0.206490567560742,"Vmn1r213","171249"
"ENSMUSG00000018040",283.620960583264,-0.488584352310508,0.14603383509916,-3.34569281138682,0.000820772717826242,0.210307224852247,"Rrp7a","74778"
"ENSMUSG00000027961",14.1891246476914,-1.97002592095223,0.595913311091548,-3.30589346518151,0.000946740765282414,0.233599517715239,"Lrrc39","109245"
"ENSMUSG00000038349",20.4551627263909,-1.41080579751942,0.426489832846721,-3.30794708071379,0.000939825670025419,0.233599517715239,"Plcl1","227120"
"ENSMUSG00000004043",280.385492379856,-0.452281237971023,0.137787936860291,-3.28244437268562,0.00102911288100116,0.249307273208353,"Stat5a","20850"
"ENSMUSG00000025402",173.094156330505,0.5785918666693,0.177453259412584,3.2605310749692,0.00111203781053255,0.262384430910878,"Nab2","17937"
"ENSMUSG00000116461",14.6848883637837,6.51384422751771,1.99941204469513,3.25787985763132,0.0011224791775683,0.262384430910878,"Gm44502","100134861"
"ENSMUSG00000009772",178.119643788465,-0.592118824501708,0.183138507507374,-3.23317489347709,0.00122422589646087,0.281234238697321,"Nuak2","74137"
"ENSMUSG00000020893",140.787301240585,1.42664191806666,0.444317677751195,3.21086013342359,0.00132338329524891,0.298860322472822,"Per1","18626"
"ENSMUSG00000058672",1893.41560067004,-0.837789141699149,0.261759693378736,-3.20060407652971,0.00137139831467577,0.304541852412332,"Tubb2a","22151"
"ENSMUSG00000017677",681.444196422962,0.847082681219289,0.267001971627776,3.17257088423376,0.00151095669481013,0.32077881283881,"Wsb1","78889"
"ENSMUSG00000041777",434.52860448004,0.406683323283418,0.127962527000131,3.17814388960137,0.0014822117222388,0.32077881283881,"Cir1","66935"
"ENSMUSG00000093593",24.0864295527226,-1.42175297646146,0.448295884748014,-3.17146113723669,0.00151674160979023,0.32077881283881,NA,NA
"ENSMUSG00000074794",2021.1979221816,-1.23352169630963,0.39202203374295,-3.14656215757112,0.00165202143202125,0.343930211878924,"Arrdc3","105171"
"ENSMUSG00000030546",12.7529626499571,5.2167939592937,1.66275235577277,3.13744493651262,0.0017042728254546,0.349349709636263,"Plin1","103968"
"ENSMUSG00000046062",1797.96918827737,-0.266285788231301,0.0853406322091967,-3.12026969261899,0.00180685528412543,0.364765754631624,"Ppp1r15b","108954"
"ENSMUSG00000034917",502.118161836582,-0.515504889600084,0.165507275531134,-3.11469624489778,0.00184134423553055,0.366180158122523,"Tjp3","27375"
"ENSMUSG00000057103",1984.10979527149,0.423315979220006,0.136374347418391,3.10407336301519,0.00190875994684431,0.374004669584611,"Nat8f1","66116"
"ENSMUSG00000045314",124.128005144626,-0.811038249787096,0.262207831643558,-3.09311222591403,0.00198069217196158,0.377342595279357,"Sowahb","78088"
"ENSMUSG00000050069",94.9079814016931,0.910405158855704,0.294357909475579,3.09285101418766,0.00198243633064808,0.377342595279357,"Grem2","23893"
"ENSMUSG00000030562",164.422187051766,0.994117888218449,0.323540105056019,3.07262646170658,0.00212183906496275,0.398188502838925,"Nox4","50490"
"ENSMUSG00000024816",252.098606741232,-0.843600364655794,0.275069074522055,-3.06686735366957,0.00216314826087589,0.400302603165422,"Frmd8","67457"
