"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez"
"ENSMUSG00000031767",5282.399688523,-3.40453083581131,0.491696880418994,-6.924044002293,4.3892947427833e-12,5.6086408223285e-08,"Nudt7","67528"
"ENSMUSG00000031845",123.852000914974,0.909463865713653,0.16111426552428,5.64483761108414,1.65337231460005e-08,0.000105633957179797,"Bco1","63857"
"ENSMUSG00000047843",412.738251382981,-0.527661158718374,0.102389412174903,-5.15347385545114,2.55704738564255e-07,0.00108913171645802,"Bri3","55950"
"ENSMUSG00000030364",90.5918770026742,1.80707898396823,0.354578092657208,5.09642028481225,3.46136216252067e-07,0.00110573214281723,"Clec2h","94071"
"ENSMUSG00000116207",53.5842676997524,-19.7503377718086,4.20847249206744,-4.69299438431309,2.69234883949269e-06,0.00688056669420752,"Nnt","18115"
"ENSMUSG00000061906",58.0883391250374,2.81314799501857,0.606412898488113,4.63899762361951,3.50103078675291e-06,0.00745602856552145,"Ugt2b38","100559"
"ENSMUSG00000007872",465.398914592722,0.845826367548141,0.189978751121653,4.45221564282479,8.49887494654665e-06,0.0155140891524247,"Id3","15903"
"ENSMUSG00000040660",199.216434004367,-6.02707661466976,1.38053500311651,-4.36575429167958,1.2668482387766e-05,0.0202347334938592,"Cyp2b9","13094"
"ENSMUSG00000031781",295.150490950518,0.661529052432588,0.154741482369564,4.27505955289146,1.91086210605836e-05,0.027129995545793,"Ciapin1","109006"
"ENSMUSG00000041293",67.6902673057067,1.4049781630766,0.334552117589624,4.19957934566119,2.67411311764633e-05,0.0341698174172848,"Adgrf1","77596"
"ENSMUSG00000025198",546.378662837834,0.376929767907397,0.0912940503500741,4.12874405793183,3.64750141724612e-05,0.0423707028268826,"Erlin1","226144"
"ENSMUSG00000032114",1443.94148581988,-0.395483947544144,0.0967293247764526,-4.08856309560861,4.34053491445941e-05,0.0462194626141353,"Slc37a4","14385"
"ENSMUSG00000032482",10.5746306352757,2.21940230293278,0.56413274348173,3.93418451344449,8.34796379200851e-05,0.0782293182715303,"Cspg5","29873"
"ENSMUSG00000057236",1428.47919760607,0.490048765710516,0.124762774603434,3.92784440125001,8.57106320082504e-05,0.0782293182715303,"Rbbp4","19646"
"ENSMUSG00000030747",4663.90111165626,-0.423458067842231,0.108594138097782,-3.89945604118091,9.64090382215535e-05,0.0821276460263341,"Dgat2","67800"
