"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez"
"ENSMUSG00000020926",414.082791133494,3.76465678352716,0.2683624499252,14.0282546406044,1.0469661562696e-44,1.33781335448129e-40,"Adam11","11488"
"ENSMUSG00000020865",1827.31780406322,2.24993521203997,0.214145242124695,10.5065851088574,8.05579041273461e-26,5.14684449469614e-22,"Abcc3","76408"
"ENSMUSG00000022351",491.723667988913,-5.95949229085995,0.593859134009062,-10.0351951322669,1.06748128063748e-23,3.41006895099643e-20,"Sqle","20775"
"ENSMUSG00000024799",686.576384226939,-2.15730598132054,0.214857756646296,-10.0406241552263,1.01032824685874e-23,3.41006895099643e-20,"Tm7sf2","73166"
"ENSMUSG00000024254",2069.5724317746,1.96675560362498,0.196632475775082,10.002191122664,1.49061774816979e-23,3.80942271722271e-20,"Abcg8","67470"
"ENSMUSG00000034220",171.244430146999,1.99553458738021,0.204914499642493,9.7383766930195,2.06831843728315e-22,4.40482883193402e-19,"Gpc1","14733"
"ENSMUSG00000040505",1923.93758224457,1.95705096143466,0.201567328098785,9.7091675515763,2.75578526983865e-22,5.03048916828547e-19,"Abcg5","27409"
"ENSMUSG00000041293",67.6902673057067,-3.41609795021416,0.368969001182931,-9.25849580659081,2.07332338376681e-20,3.31161577472153e-17,"Adgrf1","77596"
"ENSMUSG00000010025",4235.07851296268,1.87309977983128,0.206629825818929,9.06500197833341,1.24601991275157e-19,1.76907138279328e-16,"Aldh3a2","11671"
"ENSMUSG00000023057",1241.23357059303,1.2910466353108,0.142617941812632,9.05248399256067,1.39752343098589e-19,1.78575544011377e-16,"Fabp2","14079"
"ENSMUSG00000021670",1033.57648440175,-2.40659300336552,0.269706534081209,-8.92300593147992,4.53800440097986e-19,5.27151093052006e-16,"Hmgcr","15357"
"ENSMUSG00000029314",51.7889554389719,3.03519357178895,0.345256076890137,8.7911372889601,1.48053513794975e-18,1.57652316606016e-15,"Gpat3","231510"
"ENSMUSG00000061780",203.81721676925,9.214020049658,1.06801315201451,8.62725335570848,6.28428646290142e-18,6.1769701863811e-15,"Cfd","11537"
"ENSMUSG00000021273",916.597630555769,-1.80000584157842,0.20914373412749,-8.60654921883135,7.52928285456214e-18,6.8720840225425e-15,"Fdft1","14137"
"ENSMUSG00000008153",179.047218698733,2.90115313675547,0.346390470222749,8.37538381148264,5.5044184672424e-17,4.68903061162823e-14,"Clstn3","232370"
"ENSMUSG00000020123",464.356665078509,-2.11013384241018,0.254481598543888,-8.29189165143612,1.11461440177119e-16,8.90158926614518e-14,"Avpr1a","54140"
"ENSMUSG00000021236",2784.03444125882,1.03426929098095,0.127217503599006,8.12992915063801,4.29541415724391e-16,3.22863541772133e-13,"Entpd5","12499"
"ENSMUSG00000002944",1082.38691754124,2.28051452787024,0.28159802690807,8.09847481145435,5.56524833035165e-16,3.95070795362408e-13,"Cd36","12491"
"ENSMUSG00000066441",815.542947820149,-2.43942923315556,0.306218154937344,-7.96631157827562,1.63480443305056e-15,1.09944900239579e-12,"Rdh11","17252"
"ENSMUSG00000022215",99.647826991669,2.29794752020929,0.288895730360604,7.95424535122397,1.8022665449258e-15,1.15146809555309e-12,"Fitm1","68680"
"ENSMUSG00000058258",1478.21433581279,-3.80186083634629,0.489944235901823,-7.75978276251854,8.5074983464035e-15,5.17661018430209e-12,"Idi1","319554"
"ENSMUSG00000031604",980.71251703699,-2.45163437995316,0.317481694183486,-7.72212831438481,1.14403137303048e-14,6.64474222026519e-12,"Msmo1","66234"
"ENSMUSG00000002831",233.442231780034,3.07979746283117,0.403339678558639,7.63574135288904,2.24524669389671e-14,1.24738096759183e-11,"Plin4","57435"
"ENSMUSG00000049971",484.30055420994,1.23236483855442,0.164302446277496,7.50058727958947,6.35325368914113e-14,3.38257815166022e-11,"Glt1d1","319804"
"ENSMUSG00000034785",1102.47179597028,0.949892204109754,0.12810484005681,7.41495952602967,1.21661955368356e-13,6.21838586278739e-11,"Dio1","13370"
"ENSMUSG00000006800",219.003148668099,1.53061988217456,0.207354338692902,7.38166315604058,1.56324290117252e-13,7.68273761199325e-11,"Sulf2","72043"
"ENSMUSG00000071719",36.3459080570501,2.96635453891229,0.409026898748036,7.25222362634784,4.09984228157417e-13,1.94028832125758e-10,"Tmem28","620592"
"ENSMUSG00000061808",44918.0832630004,-0.880332649914336,0.122107038199906,-7.20951603521093,5.61510854975317e-13,2.56249489459807e-10,"Ttr","22139"
