"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez"
"ENSMUSG00000031767",1988.5570917357,-3.80792483777917,0.299298576558465,-12.7228297627247,4.41573963652444e-37,5.76916383511919e-33,"Nudt7","67528"
"ENSMUSG00000078964",4385.15569123937,2.65118648660296,0.237615884527307,11.1574463629694,6.58561000231071e-29,4.30204973400947e-25,"Ces1b","382044"
"ENSMUSG00000110714",51.5664754294665,4.41436415096157,0.503782538026557,8.7624397785873,1.91069191506116e-18,8.32106329009133e-15,NA,NA
"ENSMUSG00000020038",276.677791745764,-1.43506993465641,0.190782845199121,-7.52200719702352,5.39416142676307e-14,1.76186797601649e-10,"Cry1","12952"
"ENSMUSG00000009293",387.673942909763,-0.796116830569313,0.106330918603682,-7.48716216340248,7.03787253824316e-14,1.83899609424294e-10,"Ube2g2","22213"
"ENSMUSG00000000303",484.86315965079,-1.41241250050199,0.203249994136012,-6.94913919435009,3.67521792639717e-12,8.00278703472984e-09,"Cdh1","12550"
"ENSMUSG00000020926",349.575267607311,2.79611289877465,0.453115071981214,6.17086711891716,6.79164840064561e-10,1.26761266220621e-06,"Adam11","11488"
"ENSMUSG00000038612",1587.49568778783,0.489020992175905,0.0815770781642871,5.99458822478382,2.04001691370824e-09,3.33160262219976e-06,"Mcl1","17210"
"ENSMUSG00000046794",5940.26838048664,-1.30125353563922,0.232479281356721,-5.59728818863022,2.17730611740748e-08,2.3705420353274e-05,"Ppp1r3b","244416"
"ENSMUSG00000058672",1893.41560067004,-1.46733251753874,0.261623870796521,-5.60855748013896,2.04019940760839e-08,2.3705420353274e-05,"Tubb2a","22151"
"ENSMUSG00000059824",96.6457443352785,3.69521384572929,0.659648413118856,5.60179297371172,2.12145844322042e-08,2.3705420353274e-05,"Dbp","13170"
"ENSMUSG00000091867",1716.62464344524,1.14833530289989,0.204050922653006,5.62768983334941,1.82639116180795e-08,2.3705420353274e-05,"Cyp2a22","233005"
"ENSMUSG00000003477",5033.33413418925,0.698275009126969,0.12517696114887,5.57830292985406,2.42876424023689e-08,2.44090806143807e-05,"Inmt","21743"
"ENSMUSG00000057054",241.367895860226,0.699632025688201,0.127393624133102,5.49189200361563,3.97650539836552e-08,3.71093164497468e-05,"Inca1","103844"
"ENSMUSG00000032548",966.214770946817,-0.797539346070048,0.14644751625549,-5.44590558079986,5.15424738218855e-08,4.48934946988623e-05,"Slco2a1","24059"
"ENSMUSG00000026614",1313.44845595222,-0.794144373932965,0.147377106547666,-5.38851923840775,7.10405594275817e-08,5.80090568075847e-05,"Slc30a10","226781"
"ENSMUSG00000032220",669.246346912164,-0.635730706327931,0.118698775600024,-5.35583204724989,8.51635903339329e-08,6.1814572650713e-05,"Myo1e","71602"
"ENSMUSG00000096770",7704.30654863942,-12.5269532541487,2.3363644823064,-5.36172902345375,8.24291284549939e-08,6.1814572650713e-05,"Amy2a4","100043684"
"ENSMUSG00000030302",286.828322718965,-1.51539632849568,0.284554282250748,-5.32550877993929,1.00670853144891e-07,6.9224457702e-05,"Atp2b2","11941"
"ENSMUSG00000044734",191.939274184573,1.61472477323161,0.304688034762199,5.29960021072657,1.16056523909336e-07,7.58139242437736e-05,"Serpinb1a","66222"
"ENSMUSG00000094156",81.5232404451461,2.36079254615502,0.452537138333334,5.21679293516036,1.82047572825586e-07,0.000113259597093633,"Sult2a7","638251"
"ENSMUSG00000037331",3718.77080862511,-0.280287110670507,0.0542195989226514,-5.16947960220729,2.3474675387572e-07,0.000139407560881194,"Larp1","73158"
"ENSMUSG00000038768",46.0112276982355,1.75956463570439,0.341543088665603,5.15180864171178,2.5798620800333e-07,0.000146547382937544,"9130409I23Rik","619326"
"ENSMUSG00000051124",214.605438225849,-0.786545742200563,0.153092515583657,-5.13771518615328,2.7809893790689e-07,0.000151390109323063,"Gimap9","317758"
"ENSMUSG00000039878",33.7072064172913,-2.27032071576243,0.446390500084992,-5.08595213233743,3.65786308462445e-07,0.000191159924802474,"Slc39a5","72002"
"ENSMUSG00000017210",179.395694612258,-0.754080375972412,0.149550050521401,-5.0423277915543,4.59902586109921e-07,0.000222541751389856,"Med24","23989"
"ENSMUSG00000026491",1061.20810055109,-0.482657025917205,0.0956785413064242,-5.04456923492831,4.54544226476921e-07,0.000222541751389856,"Ahctf1","226747"
"ENSMUSG00000026077",252.985606185834,-1.7753443150623,0.357918237432192,-4.9601951769743,7.04223868697593e-07,0.000328595887304788,"Npas2","18143"
"ENSMUSG00000025185",160.026734912847,-1.51504141995898,0.306286794929293,-4.94647972110168,7.55675959082082e-07,0.000340445048462324,"Loxl4","67573"
"ENSMUSG00000083563",157.820850300325,-1.4872522269875,0.301877565602446,-4.92667358046116,8.36413096403212e-07,0.000364257903483599,NA,NA
"ENSMUSG00000110353",161.127786944866,1.82828906274722,0.37237634662694,4.90978838830187,9.11747256693458e-07,0.000384257351893549,"Gm33543","102636491"
"ENSMUSG00000024254",1625.99087077454,1.19010608402077,0.244410773066409,4.86928652566966,1.12001906769037e-06,0.00044733151089731,"Abcg8","67470"
"ENSMUSG00000040957",60.1544205732543,1.45629291886149,0.299183772513745,4.8675531651523,1.12988441328827e-06,0.00044733151089731,"Cables1","63955"
"ENSMUSG00000002250",403.077765717038,-2.17669830754932,0.450361593434968,-4.83322365690056,1.34339714330065e-06,0.000516220108153616,"Ppard","19015"
"ENSMUSG00000021665",433.290639949992,0.724109174029371,0.150309329410173,4.81745994657043,1.45397265486276e-06,0.000527670909327278,"Hexb","15212"
"ENSMUSG00000046688",246.110630271284,0.818113604355154,0.169755106747767,4.81937551116363,1.44008277783955e-06,0.000527670909327278,"Tifa","211550"
"ENSMUSG00000079293",124.595560384446,1.18392521992596,0.246935946093727,4.79446285020241,1.63111286453303e-06,0.000575959177706057,"Clec7a","56644"
"ENSMUSG00000027346",848.742246671279,1.33293225949691,0.282118641982074,4.72472237258823,2.30429942323388e-06,0.000780388271302199,"Gpcpd1","74182"
"ENSMUSG00000030062",1376.17111691766,-0.49201946272741,0.104186009350309,-4.72250992043541,2.32951722776776e-06,0.000780388271302199,"Rpn1","103963"
"ENSMUSG00000050737",12.0908335969609,-2.58073051898808,0.552487456424978,-4.67111151389284,2.99574240172748e-06,0.00097848436196424,"Ptges","64292"
"ENSMUSG00000072964",53.7918888298057,1.38006377642461,0.298627717120544,4.62135192852021,3.81247398521459e-06,0.00121487738089826,"Bhlhb9","70237"
"ENSMUSG00000026730",1426.39240739739,-0.572344529147916,0.125281327897169,-4.56847431899587,4.91287250080396e-06,0.00152825426721437,"Pter","19212"
