"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez"
"ENSMUSG00000022351",579.903455886517,-6.36600239808013,0.3525140372064,-18.0588621336313,6.71934002751077e-73,8.35079578619038e-69,"Sqle","20775"
"ENSMUSG00000027605",3744.22660442769,-3.09329843987078,0.193299388833568,-16.0026291781716,1.22491082985007e-57,7.61159589668831e-54,"Acss2","60525"
"ENSMUSG00000066441",968.210399973511,-3.21474652981893,0.217303174180188,-14.7938314382525,1.60548431181775e-49,6.65098634242365e-46,"Rdh11","17252"
"ENSMUSG00000021670",1086.76288601378,-2.61776082108285,0.185328105707899,-14.1250071654473,2.66372762917569e-45,8.27620174384888e-42,"Hmgcr","15357"
"ENSMUSG00000021273",1039.78409270526,-2.23846895925212,0.164230697865378,-13.6300276887761,2.65479564455287e-42,6.59876005410061e-39,"Fdft1","14137"
"ENSMUSG00000031604",1138.69771626036,-3.00421513924479,0.228504762045546,-13.1472758482205,1.76416524405419e-39,3.65417427551759e-36,"Msmo1","66234"
"ENSMUSG00000034220",228.748352682098,2.5813989865713,0.1988128552997,12.9840647511449,1.50667378866537e-38,2.67499169221902e-35,"Gpc1","14733"
"ENSMUSG00000020926",444.85967050538,3.64202815603031,0.286939320709577,12.6926771382321,6.49278606751709e-37,1.00865431558878e-33,"Adam11","11488"
"ENSMUSG00000031349",540.396998264587,-3.48724492215243,0.278352502081928,-12.5281608610295,5.23628828912716e-36,7.2307323174747e-33,"Nsdhl","18194"
"ENSMUSG00000006517",246.031086979478,-4.38696567387401,0.363899361843476,-12.0554365680943,1.81567876395396e-33,2.25652556784198e-30,"Mvd","192156"
"ENSMUSG00000024799",763.704376753118,-2.54874822325035,0.217641131539908,-11.710783734751,1.12237308679712e-31,1.26807752024678e-28,"Tm7sf2","73166"
"ENSMUSG00000020123",428.47983546658,-2.03745987512715,0.178641689511907,-11.4052877617424,3.9347398777629e-30,4.07507893340311e-27,"Avpr1a","54140"
"ENSMUSG00000041939",135.398016726005,-2.19236366314173,0.193551903298728,-11.327006481347,9.64448128879049e-30,9.22012411208371e-27,"Mvk","17855"
"ENSMUSG00000049109",56.8424497182257,5.07749782353115,0.471956225008429,10.7584084168833,5.40963709960424e-27,4.80221213384868e-24,"Themis","210757"
