"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez"
"ENSMUSG00000091867",1716.62464344524,1.57662338256389,0.203913157953407,7.73183740758965,1.06005282837416e-14,1.38495902027084e-10,"Cyp2a22","233005"
"ENSMUSG00000000303",484.86315965079,-1.33313193070714,0.203042356605751,-6.565782396309,5.17603575235629e-11,3.38124535522675e-07,"Cdh1","12550"
"ENSMUSG00000039648",1129.45581436649,-1.00222541706211,0.16366966925196,-6.12346454686872,9.15622360486967e-10,3.98753537992074e-06,"Kyat1","70266"
"ENSMUSG00000032548",966.214770946817,-0.848015248995737,0.146661553347429,-5.78212373754736,7.37634175994281e-09,1.60619841822755e-05,"Slco2a1","24059"
"ENSMUSG00000044734",191.939274184573,1.76852261032979,0.304399890096122,5.80986612633576,6.25228183228958e-09,1.60619841822755e-05,"Serpinb1a","66222"
"ENSMUSG00000070360",167.112575523716,-24.5767822023455,4.20641242071248,-5.84269437807115,5.13631989116026e-09,1.60619841822755e-05,"Amy2a1","100043207"
"ENSMUSG00000032478",131.992041677907,-1.10132292201275,0.200458979756939,-5.49400642140415,3.92916193327184e-08,7.33350009402809e-05,"Nme6","54369"
"ENSMUSG00000029314",136.814229477129,1.2927327814331,0.238656265354612,5.41671419986509,6.07042564330878e-08,9.35013958620601e-05,"Gpat3","231510"
"ENSMUSG00000038612",1587.49568778783,0.441373569677482,0.0816435285802524,5.40610599949301,6.44096871610058e-08,9.35013958620601e-05,"Mcl1","17210"
"ENSMUSG00000030257",218.606541385677,-1.14985680311166,0.230326280769409,-4.99229527464493,5.96659442196437e-07,0.000779535561229645,"Srgap3","259302"
"ENSMUSG00000038768",46.0112276982355,1.68932814105868,0.342131821891725,4.93765277873889,7.90684586050995e-07,0.000864224028627775,"9130409I23Rik","619326"
"ENSMUSG00000049404",259.301446138978,1.0346219640011,0.210235529846639,4.921251725414,8.59924406594801e-07,0.000864224028627775,"Rarres1","109222"
"ENSMUSG00000083563",157.820850300325,-1.48890007754884,0.30203523978361,-4.92955748678711,8.24160821124013e-07,0.000864224028627775,NA,NA
"ENSMUSG00000068086",286.00492161162,-1.25575536548249,0.256509051254933,-4.89555966675986,9.8026342681459e-07,0.000914795833666615,"Cyp2d9","13105"
"ENSMUSG00000032220",669.246346912164,-0.571076044946441,0.118687839484964,-4.81158008625464,1.49741708559703e-06,0.00123707451482202,"Myo1e","71602"
"ENSMUSG00000035227",945.868018525225,-0.553084904265891,0.115295296705051,-4.79711592816136,1.60966450455219e-06,0.00123707451482202,"Spcs2","66624"
"ENSMUSG00000047617",413.17960766168,-1.6182713883721,0.336937651035369,-4.80288083982109,1.56398967767072e-06,0.00123707451482202,"Paxx","227622"
"ENSMUSG00000095041",2127.94535244862,-0.428235034282431,0.0906032997827474,-4.72648386216917,2.28440937822894e-06,0.00165810047369784,NA,NA
"ENSMUSG00000079293",124.595560384446,1.1630659664282,0.247338489492049,4.70232501547473,2.5721562989107e-06,0.00176869589711939,"Clec7a","56644"
"ENSMUSG00000030062",1376.17111691766,-0.482302381692507,0.104156159172055,-4.63056995886143,3.64660545497695e-06,0.00217356928896379,"Rpn1","103963"
"ENSMUSG00000040998",34.4086804391647,1.35882687475298,0.292905775154286,4.63912626522036,3.49885248332831e-06,0.00217356928896379,"Npnt","114249"
"ENSMUSG00000072964",53.7918888298057,1.37996739619018,0.298655788085456,4.62059484946372,3.82641359710425e-06,0.00217356928896379,"Bhlhb9","70237"
"ENSMUSG00000101532",42.2106830371295,2.01930785352637,0.43643053748111,4.62687112863584,3.71231344468624e-06,0.00217356928896379,NA,NA
"ENSMUSG00000020926",349.575267607311,2.09085022230813,0.453580261776764,4.60965874951846,4.03330456112965e-06,0.00219563017046495,"Adam11","11488"
"ENSMUSG00000063704",93.4444646813652,-1.05230302901342,0.229581537500391,-4.58356991799319,4.5710394188816e-06,0.00238882520030752,"Mapk15","332110"
"ENSMUSG00000050737",12.0908335969609,-2.46729201411628,0.546341985624304,-4.51602124500263,6.30123454567934e-06,0.00316637035920387,"Ptges","64292"
"ENSMUSG00000094156",81.5232404451461,2.04222225278939,0.453521205142698,4.50303586608882,6.69895730577528e-06,0.00324155100740571,"Sult2a7","638251"
"ENSMUSG00000005125",362.962116704672,-0.830840495273483,0.185732509037301,-4.47331756610591,7.70152676724804e-06,0.00359358740050342,"Ndrg1","17988"
"ENSMUSG00000010025",5475.5792237662,0.65184587089566,0.150279874173229,4.33754602525332,1.44082369332537e-05,0.00607237469461158,"Aldh3a2","11671"
"ENSMUSG00000028456",81.6644581660693,-1.05195655168517,0.24225888862821,-4.34228257894632,1.41010004961606e-05,0.00607237469461158,"Unc13b","22249"
"ENSMUSG00000040957",60.1544205732543,1.30799357412655,0.300766353932635,4.34886933669285,1.36841208493788e-05,0.00607237469461158,"Cables1","63955"
"ENSMUSG00000021665",433.290639949992,0.644576691624057,0.150502257602829,4.28283735998882,1.84525052442016e-05,0.0073055145762271,"Hexb","15212"
