"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez"
"ENSMUSG00000020926",414.082791133494,3.6609855142586,0.267355682738429,13.6933147511974,1.11313075063584e-42,1.42235847316248e-38,"Adam11","11488"
"ENSMUSG00000040505",1923.93758224457,2.06721245038409,0.201893275815156,10.2391347212412,1.32415286522619e-24,8.46001265593011e-21,"Abcg5","27409"
"ENSMUSG00000024254",2069.5724317746,1.85627800842313,0.196745345337355,9.43492719098492,3.91265889909257e-21,1.66653184708683e-17,"Abcg8","67470"
"ENSMUSG00000045414",611.861859994685,0.827342494449373,0.0897379781510707,9.21953571381529,2.98389405393535e-20,9.53204955529649e-17,"Dipk2a","68861"
"ENSMUSG00000030364",90.5918770026742,3.06039002007948,0.349839937939632,8.74797211005557,2.17220932851911e-18,5.55129815996344e-15,"Clec2h","94071"
"ENSMUSG00000021273",916.597630555769,-1.77855575870776,0.208358600630759,-8.53603236594786,1.38909465703212e-17,2.21873144094455e-14,"Fdft1","14137"
"ENSMUSG00000022351",491.723667988913,-4.93957209204524,0.576967308766751,-8.5612685796764,1.11632308691555e-17,2.21873144094455e-14,"Sqle","20775"
"ENSMUSG00000066441",815.542947820149,-2.59976536733896,0.304495332112799,-8.53794818232513,1.36626161750541e-17,2.21873144094455e-14,"Rdh11","17252"
"ENSMUSG00000024799",686.576384226939,-1.7993184829034,0.213129146021164,-8.44238583269475,3.10925055952864e-17,4.41444484996188e-14,"Tm7sf2","73166"
"ENSMUSG00000010651",7626.23624316371,1.71203920651938,0.203286118561933,8.42182052877258,3.70678598486725e-17,4.73653113146337e-14,"Acaa1b","235674"
"ENSMUSG00000021670",1033.57648440175,-2.08485319173032,0.268883170987561,-7.75375113315207,8.9217092083672e-15,1.03637818422287e-11,"Hmgcr","15357"
"ENSMUSG00000028716",40.58434592634,-4.26880427566416,0.561065330637727,-7.60839075694105,2.77529689147466e-14,2.9552286399386e-11,"Pdzk1ip1","67182"
"ENSMUSG00000050144",964.541816654064,-0.938973329985186,0.128734496361975,-7.29387504142625,3.01164781608541e-13,2.96021813799533e-10,"Slc25a44","229517"
"ENSMUSG00000023057",1241.23357059303,1.02930813805418,0.142866496956786,7.20468521297561,5.81780942588259e-13,4.41752489479234e-10,"Fabp2","14079"
"ENSMUSG00000031604",980.71251703699,-2.2790322736641,0.316387127250045,-7.20330278122519,5.87712656217482e-13,4.41752489479234e-10,"Msmo1","66234"
"ENSMUSG00000032114",1443.94148581988,-0.702933091621467,0.0975273955857158,-7.20754499184453,5.69696196706369e-13,4.41752489479234e-10,"Slc37a4","14385"
"ENSMUSG00000035811",2424.72787997657,0.744845695412772,0.103149083815988,7.22105973080217,5.15839874948652e-13,4.41752489479234e-10,"Ugt2b35","243085"
"ENSMUSG00000034220",171.244430146999,1.53765899590225,0.214405193792201,7.17174322461855,7.40487340511436e-13,5.25663735391952e-10,"Gpc1","14733"
"ENSMUSG00000064294",6529.00366726578,1.26582114915716,0.176889154863517,7.15601332446771,8.30570739413064e-13,5.58580679380007e-10,"Aox3","71724"
"ENSMUSG00000013846",1798.24199368179,-0.825286662556458,0.118471507450592,-6.96611936756727,3.25802740038452e-12,2.08155370610567e-09,"St3gal1","20442"
"ENSMUSG00000010025",4235.07851296268,1.42742339561804,0.206634173715842,6.90797349707021,4.91625796336422e-12,2.9914259169461e-09,"Aldh3a2","11671"
"ENSMUSG00000000171",1862.66814602548,-0.455568861682,0.0663763555297734,-6.86342083782608,6.72307882373444e-12,3.90488641862176e-09,"Sdhd","66925"
"ENSMUSG00000006517",197.916781049136,-3.67976678767704,0.53722036899127,-6.84964122746589,7.40354277661936e-12,4.11315085215836e-09,"Mvd","192156"
"ENSMUSG00000037826",1347.08975361614,1.53687229557765,0.225048276944899,6.82907826019012,8.54619462121432e-12,4.55013645291153e-09,"Ppm1k","243382"
"ENSMUSG00000042216",45.5453175822483,-2.38080240837524,0.356471850004771,-6.67879499697767,2.40914882054423e-11,1.23136414515657e-08,"Sgsm1","52850"
