Ensembl,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,symbol,entrez,Gene stable ID,Gene name,Gene type,Gene description,Chromosome/scaffold name,Gene start (bp),Gene end (bp)
ENSMUSG00000000001,1401.01439295542,0.049973117717503,0.108939157085077,0.458725026470288,0.646431639909926,0.846759443971537,Gnai3,14679,ENSMUSG00000000001,Gnai3,protein_coding,"guanine nucleotide binding protein (G protein), alpha inhibiting 3 [Source:MGI Symbol;Acc:MGI:95773]",3,108014596,108053462
ENSMUSG00000000028,11.1258035180516,-0.020515187395978,0.470172706375011,-0.043633301375889,0.965196706307626,0.988501840693686,Cdc45,12544,ENSMUSG00000000028,Cdc45,protein_coding,cell division cycle 45 [Source:MGI Symbol;Acc:MGI:1338073],16,18599197,18630737
ENSMUSG00000000049,19374.6005917032,-0.04374462376069,0.13661465605486,-0.320204471642658,0.748813333636692,0.899930784747489,Apoh,11818,ENSMUSG00000000049,Apoh,protein_coding,apolipoprotein H [Source:MGI Symbol;Acc:MGI:88058],11,108234180,108305222
ENSMUSG00000000056,463.622536763518,0.690408789303245,0.184769937950958,3.7365861403628,0.000186535565303,0.004116824760735,Narf,67608,ENSMUSG00000000056,Narf,protein_coding,nuclear prelamin A recognition factor [Source:MGI Symbol;Acc:MGI:1914858],11,121128079,121146682
ENSMUSG00000000058,78.33537975755,0.150098593406864,0.20814368493732,0.721129701590825,0.470829718391433,0.738026535134187,Cav2,12390,ENSMUSG00000000058,Cav2,protein_coding,caveolin 2 [Source:MGI Symbol;Acc:MGI:107571],6,17281184,17289114
ENSMUSG00000000078,231.6211217858,-0.52446590431995,0.224227765717248,-2.3389873356777,0.019336088931133,0.128588307232863,Klf6,23849,ENSMUSG00000000078,Klf6,protein_coding,Kruppel-like factor 6 [Source:MGI Symbol;Acc:MGI:1346318],13,5911481,5920393
ENSMUSG00000000085,116.731726472244,-0.006796541177334,0.18003256502877,-0.037751732172719,0.969885629058862,0.989873788321945,Scmh1,29871,ENSMUSG00000000085,Scmh1,protein_coding,sex comb on midleg homolog 1 [Source:MGI Symbol;Acc:MGI:1352762],4,120262478,120387383
ENSMUSG00000000088,1487.92588104273,0.150804917879546,0.10983413208769,1.37302416847201,0.169744833386681,0.450693783950981,Cox5a,12858,ENSMUSG00000000088,Cox5a,protein_coding,cytochrome c oxidase subunit 5A [Source:MGI Symbol;Acc:MGI:88474],9,57428557,57439709
ENSMUSG00000000093,35.2967968516807,0.131658597831002,0.238421958938281,0.552208355376712,0.580805610486161,0.806480911352107,Tbx2,21385,ENSMUSG00000000093,Tbx2,protein_coding,T-box 2 [Source:MGI Symbol;Acc:MGI:98494],11,85723377,85732774
ENSMUSG00000000120,71.1058454659435,-0.293770699644289,0.22477909218804,-1.30693071488398,0.191236243445223,0.477275830184749,Ngfr,18053,ENSMUSG00000000120,Ngfr,protein_coding,"nerve growth factor receptor (TNFR superfamily, member 16) [Source:MGI Symbol;Acc:MGI:97323]",11,95459644,95478561
ENSMUSG00000000126,7.42135040220439,0.714783836555151,0.4640955662961,1.54016519110443,0.12352009237522,0.380167395421509,Wnt9a,216795,ENSMUSG00000000126,Wnt9a,protein_coding,"wingless-type MMTV integration site family, member 9A [Source:MGI Symbol;Acc:MGI:2446084]",11,59197754,59224378
ENSMUSG00000000127,119.246796579172,-0.084810991980804,0.185077779197173,-0.458245135362525,0.64677633615302,0.846759443971537,Fer,14158,ENSMUSG00000000127,Fer,protein_coding,fer (fms/fps related) protein kinase [Source:MGI Symbol;Acc:MGI:105917],17,64170057,64446491
ENSMUSG00000000131,530.616622535528,0.219400085415716,0.155521195617035,1.4107407324464,0.158321075846246,0.434646432536629,Xpo6,74204,ENSMUSG00000000131,Xpo6,protein_coding,exportin 6 [Source:MGI Symbol;Acc:MGI:2429950],7,125700887,125799673
ENSMUSG00000000134,310.01826369412,0.101830745766597,0.114145415280162,0.892114199389093,0.372331724776754,0.662266544177331,Tfe3,209446,ENSMUSG00000000134,Tfe3,protein_coding,transcription factor E3 [Source:MGI Symbol;Acc:MGI:98511],X,7628799,7641441
ENSMUSG00000000142,171.826052675704,-0.964605876747268,0.15923305379762,-6.05782438847935,1.37974903996202E-09,1.06405305223889E-07,Axin2,12006,ENSMUSG00000000142,Axin2,protein_coding,axin 2 [Source:MGI Symbol;Acc:MGI:1270862],11,108811175,108841609
ENSMUSG00000000148,106.702497695081,0.082163899529771,0.142041874129369,0.578448433135551,0.562961402768459,0.795801067164135,Brat1,231841,ENSMUSG00000000148,Brat1,protein_coding,BRCA1-associated ATM activator 1 [Source:MGI Symbol;Acc:MGI:1891679],5,140690766,140705134
ENSMUSG00000000149,1182.06637209478,0.722831516651775,0.197656750198141,3.65700395219071,0.000255180447516,0.005262759633889,Gna12,14673,ENSMUSG00000000149,Gna12,protein_coding,"guanine nucleotide binding protein, alpha 12 [Source:MGI Symbol;Acc:MGI:95767]",5,140744163,140816186
