Ensembl,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,symbol,entrez,Gene stable ID,Gene name,Gene type,Gene description,Chromosome/scaffold name,Gene start (bp),Gene end (bp)
ENSMUSG00000000001,1401.01439295542,0.027406546255305,0.109345734055802,0.250641202347394,0.802091523401416,0.939082916167292,Gnai3,14679,ENSMUSG00000000001,Gnai3,protein_coding,"guanine nucleotide binding protein (G protein), alpha inhibiting 3 [Source:MGI Symbol;Acc:MGI:95773]",3,108014596,108053462
ENSMUSG00000000028,11.1258035180516,0.002114992124535,0.474641224385577,0.004455980677349,0.996444653579998,0.998962671624927,Cdc45,12544,ENSMUSG00000000028,Cdc45,protein_coding,cell division cycle 45 [Source:MGI Symbol;Acc:MGI:1338073],16,18599197,18630737
ENSMUSG00000000049,19374.6005917032,0.020746822461086,0.136589178897195,0.15189213837138,0.879272009019094,0.965092579972468,Apoh,11818,ENSMUSG00000000049,Apoh,protein_coding,apolipoprotein H [Source:MGI Symbol;Acc:MGI:88058],11,108234180,108305222
ENSMUSG00000000056,463.622536763518,0.002617089359467,0.185351830777919,0.014119576529044,0.988734582200511,0.997135951274414,Narf,67608,ENSMUSG00000000056,Narf,protein_coding,nuclear prelamin A recognition factor [Source:MGI Symbol;Acc:MGI:1914858],11,121128079,121146682
ENSMUSG00000000058,78.33537975755,-0.083269921000832,0.217579618771218,-0.3827101153642,0.701934713483852,0.897803561469049,Cav2,12390,ENSMUSG00000000058,Cav2,protein_coding,caveolin 2 [Source:MGI Symbol;Acc:MGI:107571],6,17281184,17289114
ENSMUSG00000000078,231.6211217858,-0.148949579827341,0.225127292609602,-0.661623822241923,0.508212336433586,0.802554270565473,Klf6,23849,ENSMUSG00000000078,Klf6,protein_coding,Kruppel-like factor 6 [Source:MGI Symbol;Acc:MGI:1346318],13,5911481,5920393
ENSMUSG00000000085,116.731726472244,0.007777335290871,0.178885694989993,0.043476563574889,0.965321646415089,0.989750015621092,Scmh1,29871,ENSMUSG00000000085,Scmh1,protein_coding,sex comb on midleg homolog 1 [Source:MGI Symbol;Acc:MGI:1352762],4,120262478,120387383
ENSMUSG00000000088,1487.92588104273,0.225637520135646,0.109379580667317,2.0628852182377,0.039123534855812,0.250956398203182,Cox5a,12858,ENSMUSG00000000088,Cox5a,protein_coding,cytochrome c oxidase subunit 5A [Source:MGI Symbol;Acc:MGI:88474],9,57428557,57439709
ENSMUSG00000000093,35.2967968516807,-0.205788538351885,0.231257010826932,-0.889869403811902,0.373536014400126,0.707432179429684,Tbx2,21385,ENSMUSG00000000093,Tbx2,protein_coding,T-box 2 [Source:MGI Symbol;Acc:MGI:98494],11,85723377,85732774
ENSMUSG00000000120,71.1058454659435,-0.344819340699769,0.214197588286777,-1.60981896882102,0.107437382887881,0.418795978729811,Ngfr,18053,ENSMUSG00000000120,Ngfr,protein_coding,"nerve growth factor receptor (TNFR superfamily, member 16) [Source:MGI Symbol;Acc:MGI:97323]",11,95459644,95478561
